Epoch,TrueStage,PredStage,Correct
1,W,W,1
2,W,W,1
3,N1,R,0
4,N2,N2,1
5,N2,N2,1
6,N3,N3,1
7,N3,N3,1
8,N2,N2,1
9,R,R,1
10,R,R,1
11,N2,N2,1
12,N3,N3,1
13,N3,N3,1
14,N2,N2,1
15,R,N1,0
16,R,N1,0
17,N2,N2,1
18,N2,N2,1
19,N3,N3,1
20,N2,N2,1
21,R,R,1
22,R,R,1
23,R,R,1
24,N2,N2,1
25,N2,N2,1
26,N1,R,0
27,W,W,1
28,W,W,1
29,N2,N2,1
30,N2,N2,1
31,R,R,1
32,R,R,1
33,N2,N2,1
34,N1,R,0
35,W,W,1
36,W,W,1
37,N2,N2,1
38,N3,N2,0
39,N2,N2,1
40,R,R,1
41,R,R,1
42,N2,N2,1
43,N1,R,0
44,W,W,1
