onset_s,offset_s,duration_s,peak_amp,freq_hz
19763.13,19764.64,1.52,55.778569302564,NaN
19937.89,19939.69,1.81,50.5446797084901,NaN
19942.92,19944.76,1.85,62.1405645222464,NaN
20092.83,20093.55,0.73,53.1162879854909,NaN
21450.01,21451.56,1.56,65.3735091216614,NaN
21492,21493.53,1.54,53.0907059575501,NaN
21504.67,21506.5,1.84,59.6866623446741,NaN
21507.44,21509.01,1.58,62.8777493130115,NaN
21581.23,21582.78,1.56,59.8220239574144,NaN
21609.01,21610.86,1.86,44.8673068048702,NaN
21682.68,21684.46,1.79,51.9336204562494,NaN
21714.89,21716.71,1.83,59.1976069058407,NaN
21724.82,21726.65,1.84,55.7815138031854,NaN
21865.05,21866.35,1.31,53.838333687254,NaN
22029.84,22030.96,1.13,56.0226498086304,NaN
22053.32,22054.33,1.02,45.2843444041029,NaN
22056,22057.84,1.85,48.3466424253263,NaN
22117.33,22118.3,0.98,34.4247655341433,NaN
22145.19,22146.95,1.77,48.9282495522965,NaN
22152.67,22154.17,1.51,73.6225849062238,NaN
22194.6,22196.36,1.77,48.2029412402184,NaN
22202.77,22203.73,0.97,34.4284863474492,NaN
22306.68,22308.5,1.83,53.9122140417569,NaN
22610,22611.75,1.76,58.2142319747036,NaN
22669.81,22671.62,1.82,51.4853408699137,NaN
22739.67,22740.96,1.3,55.0732278416272,NaN
22743.26,22743.96,0.71,33.6297730669522,NaN
22744.31,22745.3,1,38.8216708076493,NaN
22875.75,22877.44,1.7,63.316019340417,NaN
22899.27,22900.43,1.17,62.0033969430628,NaN
22921.36,22922.96,1.61,59.6944180371339,NaN
23013.17,23014.46,1.3,48.4593535329649,NaN
23055.68,23057.43,1.76,59.965940199974,NaN
23067.23,23068.91,1.69,49.2311725646298,NaN
23125.12,23126.04,0.93,36.3628258522301,NaN
23172.17,23173.34,1.18,58.7222644900331,NaN
23173.4,23174.24,0.85,27.2621618696635,NaN
23186.68,23187.63,0.96,42.6488662521589,NaN
23198.19,23199.95,1.77,62.0824347002894,NaN
23238.59,23240.03,1.45,62.2798951612512,NaN
23257.21,23258.64,1.44,52.2544379587396,NaN
23272.64,23273.56,0.93,29.2446561467357,NaN
23290.5,23291.98,1.49,49.6218295440103,NaN
23300.56,23302.31,1.76,47.1096872397461,NaN
23316.4,23317.24,0.85,31.9569730134752,NaN
23344.3,23345.56,1.27,55.6079435476298,NaN
23350.64,23351.65,1.02,49.3297418618938,NaN
23413.61,23414.12,0.52,26.8536734892464,NaN
23500.22,23501.47,1.26,58.4825648212881,NaN
23516.56,23518,1.45,56.5893756222102,NaN
