onset_s,offset_s,duration_s,peak_amp,freq_hz
81630.01,81631.03,1.03,103.176839791179,25.2427184466019
81631.18,81632,0.83,97.3908867879808,26.5060240963855
81632.15,81632.99,0.85,95.9694671135519,25.8823529411765
81633.18,81634.01,0.84,97.9937694125754,26.1904761904762
81634.18,81635.03,0.86,96.8170399272837,25.5813953488372
81635.19,81636.04,0.86,95.7572384133404,25.5813953488372
81636.17,81637.03,0.87,97.9240891079481,26.4367816091954
81637.25,81638.09,0.85,97.3920812274245,25.8823529411765
81638.27,81639.05,0.79,98.993120955196,26.5822784810127
81639.22,81641.1,1.89,102.400254961747,25.9259259259259
81641.25,81643.07,1.83,104.527737253164,26.775956284153
81643.58,81645.07,1.5,100.776127320858,25.3333333333333
81645.11,81646.03,0.93,101.621511201414,26.8817204301075
81646.17,81647.04,0.88,100.15437005446,26.1363636363636
81647.2,81648.01,0.82,100.031098400342,26.8292682926829
81648.11,81649,0.9,101.000039033853,25.5555555555556
81649.18,81650.01,0.84,100.708408964939,27.3809523809524
81650.15,81651,0.86,100.660426825868,25.5813953488372
81651.18,81652.01,0.84,100.142957448023,26.1904761904762
81652.2,81653.02,0.83,99.1765248378063,26.5060240963855
81653.18,81654.05,0.88,99.6042825561115,26.1363636363636
81654.21,81656.06,1.86,100.764092649013,25.8064516129032
81656.24,81657.08,0.85,99.1841931731198,27.0588235294118
81657.26,81658.12,0.87,100.291793161243,25.2873563218391
81658.25,81659.07,0.83,97.661450536529,25.3012048192771
81659.18,81660,0.83,101.108274559782,26.5060240963855
81871.6,81872.12,0.53,98.3729904575016,24.5283018867925
81872.24,81873.07,0.84,101.586838875481,26.1904761904762
81873.23,81875.07,1.85,100.908220603991,26.4864864864865
81875.22,81876.03,0.82,100.934257564923,26.8292682926829
81876.18,81877.02,0.85,98.856163233815,27.0588235294118
81877.18,81878,0.83,98.8892842995062,26.5060240963855
81878.12,81880,1.89,99.8955820946652,25.9259259259259
81880.17,81881,0.84,98.7705940507397,26.1904761904762
81881.19,81882.02,0.84,98.9632582810503,26.1904761904762
81882.2,81883.03,0.84,98.3087809581542,26.1904761904762
81883.15,81884.01,0.87,99.5427068765484,26.4367816091954
81884.2,81885.08,0.89,99.256276406032,25.8426966292135
81885.22,81886.08,0.87,100.585053552614,26.4367816091954
81886.22,81888.09,1.88,100.110062975475,26.063829787234
81888.27,81889.08,0.82,99.666005163565,25.609756097561
81889.23,81890.54,1.32,100.326027616556,26.5151515151515
81890.61,81891.54,0.94,97.6049511524027,25.531914893617
81891.57,81892.13,0.57,97.6303655220837,24.5614035087719
81896.17,81897.01,0.85,100.313288742597,27.0588235294118
81897.16,81898,0.85,97.154889488407,25.8823529411765
81898.14,81899.01,0.88,99.0479931550681,26.1363636363636
81899.17,81901.01,1.85,104.311807989535,25.9459459459459
81901.21,81902.05,0.85,99.0574792305114,25.8823529411765
81902.21,81903.03,0.83,98.9014341157358,26.5060240963855
81903.24,81904.05,0.82,99.0452440534168,26.8292682926829
81904.25,81905.09,0.85,103.70661505929,27.0588235294118
81905.25,81907.08,1.84,101.406805869218,26.6304347826087
81907.26,81909.56,2.31,103.177157025127,26.4069264069264
81909.59,81910.11,0.53,98.2527839456626,24.5283018867925
81910.21,81911.04,0.84,101.58655979484,27.3809523809524
81911.57,81914.02,2.46,101.634130606337,26.0162601626016
81914.17,81914.99,0.83,99.8413704904828,26.5060240963855
81915.11,81916,0.9,100.428492338132,25.5555555555556
81916.17,81917.03,0.87,102.640593974827,26.4367816091954
