onset_s,offset_s,duration_s,peak_amp,freq_hz
20123.76,20124.96,1.21,66.2408159814287,NaN
33480.96,33482.84,1.89,50.0226229993023,NaN
33745.51,33747.4,1.9,54.4240491974394,NaN
33876.09,33877.89,1.81,63.7659256967137,NaN
34475.72,34476.44,0.73,36.13900550641,NaN
34646.57,34648.33,1.77,51.419368426711,NaN
34955.44,34957.23,1.8,48.4976312203473,NaN
35462.02,35462.91,0.9,25.3370344295173,NaN
35478.47,35479.31,0.85,20.1528635394937,NaN
35501.03,35502.9,1.88,67.936880903678,NaN
35616.5,35618.1,1.61,51.6365329231358,NaN
35719.16,35720.89,1.74,54.2724513068768,NaN
35863.16,35864.8,1.65,47.0971602761758,NaN
35983.28,35983.82,0.55,31.875691758696,NaN
36002.59,36003.95,1.37,43.3791298226938,NaN
36009.88,36010.71,0.84,24.716767943703,NaN
36082.95,36084.43,1.49,45.0464714905868,NaN
36098.24,36099.59,1.36,46.3278767554645,NaN
36121.54,36123.18,1.65,58.6031841554607,NaN
36241.74,36243.53,1.8,54.465900625112,NaN
36347.98,36349.72,1.75,42.4748156217048,NaN
36352.4,36353.16,0.77,18.0495349603309,NaN
36437.92,36438.97,1.06,48.1690929127032,NaN
36470.49,36471.44,0.96,44.8800253711492,NaN
36572.65,36573.23,0.59,35.1213082076658,NaN
36584.36,36586.05,1.7,52.2997426393478,NaN
36698.26,36699.19,0.94,32.712914744758,NaN
36700.33,36702.01,1.69,50.2492487474828,NaN
36806.98,36808.67,1.7,49.9630742420161,NaN
36808.83,36809.32,0.5,14.781621825343,NaN
36823.46,36824.45,1,40.5435193319866,NaN
36847.66,36848.67,1.02,58.7288400406593,NaN
36858.04,36859.9,1.87,63.6398063616391,NaN
36894.51,36896.32,1.82,42.9702654268796,NaN
37170.16,37171.61,1.46,52.3094876026691,NaN
37673.53,37675.37,1.85,51.5884594283136,NaN
38421.08,38422.85,1.78,52.0767609460677,NaN
38739.07,38740.33,1.27,62.891422856483,NaN
39242.57,39244.42,1.86,52.0692757717451,NaN
39960.39,39961.17,0.79,28.6171911287077,NaN
39961.19,39962.44,1.26,63.178341914698,NaN
40019.85,40021.55,1.71,48.4554899154903,NaN
40108.23,40109.96,1.74,41.7132565900878,NaN
40114.09,40115.79,1.71,47.2887610579239,NaN
40197.87,40199.52,1.66,45.7077403774474,NaN
40206.08,40207.54,1.47,41.8416362261205,NaN
40697.09,40698.32,1.24,46.1789906773904,NaN
40730.04,40731.42,1.39,44.6019564195519,NaN
40791.73,40793.52,1.8,46.6648290780901,NaN
40856.62,40858.11,1.5,54.4129909128696,NaN
41058.42,41060.2,1.79,54.2565252345459,NaN
41528.37,41529.96,1.6,51.7502767803574,NaN
41558.86,41560.53,1.68,46.0027594930732,NaN
41668.69,41670.46,1.78,47.309525772949,NaN
41693.01,41694.7,1.7,49.9390808564936,NaN
41725.7,41726.97,1.28,46.0652586521723,NaN
41816.42,41817.25,0.84,26.8914929956133,NaN
