Epoch,TrueStage,PredStage,Correct
1,W,W,1
2,W,W,1
3,W,W,1
4,W,W,1
5,W,W,1
6,W,W,1
7,W,W,1
8,W,W,1
9,W,W,1
10,W,W,1
11,W,W,1
12,W,W,1
13,W,W,1
14,W,W,1
15,W,W,1
16,W,W,1
17,W,W,1
18,W,W,1
19,W,W,1
20,W,W,1
21,W,W,1
22,W,W,1
23,W,W,1
24,W,W,1
25,W,W,1
26,W,W,1
27,W,W,1
28,W,W,1
29,W,W,1
30,W,W,1
31,W,W,1
32,W,W,1
33,W,W,1
34,W,W,1
35,W,W,1
36,W,W,1
37,W,W,1
38,W,W,1
39,W,W,1
40,W,W,1
41,W,W,1
42,W,W,1
43,W,W,1
44,W,W,1
45,W,W,1
46,W,W,1
47,W,W,1
48,W,W,1
49,W,W,1
50,W,W,1
51,W,W,1
52,W,W,1
53,W,W,1
54,W,W,1
55,W,W,1
56,W,W,1
57,W,W,1
58,W,W,1
59,W,W,1
60,W,W,1
61,W,W,1
62,W,W,1
63,W,W,1
64,W,W,1
65,W,W,1
66,W,W,1
67,W,W,1
68,W,W,1
69,W,W,1
70,W,W,1
71,W,W,1
72,W,W,1
73,W,W,1
74,W,W,1
75,W,W,1
76,W,W,1
77,W,W,1
78,W,W,1
79,W,W,1
80,W,W,1
81,W,W,1
82,W,W,1
83,W,W,1
84,W,W,1
85,W,W,1
86,W,W,1
87,W,W,1
88,W,W,1
89,W,W,1
90,W,W,1
91,W,W,1
92,W,W,1
93,W,W,1
94,W,W,1
95,W,W,1
96,W,W,1
97,W,W,1
98,W,W,1
99,W,W,1
100,W,W,1
101,W,W,1
102,W,W,1
103,W,W,1
104,W,W,1
105,W,W,1
106,W,W,1
107,W,W,1
108,W,W,1
109,W,W,1
110,W,W,1
111,W,W,1
112,W,W,1
113,W,W,1
114,W,W,1
115,W,W,1
116,W,W,1
117,W,W,1
118,W,W,1
119,W,W,1
120,W,W,1
121,W,W,1
122,W,W,1
123,W,W,1
124,W,W,1
125,W,W,1
126,W,W,1
127,W,W,1
128,W,W,1
129,W,W,1
130,W,W,1
131,W,W,1
132,W,W,1
133,W,W,1
134,W,W,1
135,W,W,1
136,W,W,1
137,W,W,1
138,W,W,1
139,W,W,1
140,W,W,1
141,W,W,1
142,W,W,1
143,W,W,1
144,W,W,1
145,W,W,1
146,W,W,1
147,W,W,1
148,W,W,1
149,W,W,1
150,W,W,1
151,W,W,1
152,W,W,1
153,W,W,1
154,W,W,1
155,W,W,1
156,W,W,1
157,W,W,1
158,W,W,1
159,W,W,1
160,W,W,1
161,W,W,1
162,W,W,1
163,W,W,1
164,W,W,1
165,W,W,1
166,W,W,1
167,W,W,1
168,W,W,1
169,W,W,1
170,W,W,1
171,W,W,1
172,W,W,1
173,W,W,1
174,W,W,1
175,W,W,1
176,W,W,1
177,W,W,1
178,W,W,1
179,W,W,1
180,W,W,1
181,W,W,1
182,W,W,1
183,W,W,1
184,W,W,1
185,W,W,1
186,W,W,1
187,W,W,1
188,W,W,1
189,W,W,1
190,W,W,1
191,W,W,1
192,W,W,1
193,W,W,1
194,W,W,1
195,W,W,1
196,W,W,1
197,W,W,1
198,W,W,1
199,W,W,1
200,W,W,1
201,W,W,1
202,W,W,1
203,W,W,1
