name,accuracy,kappa,n_spindles,n_kcomplexes
SC4492G0-PSG,0.900749063670412,0.799124158049015,254,362
SC4651E0-PSG,0.918181818181818,0.85843629686241,207,654
SC4672G0-PSG,0.92093023255814,0.813403520913043,249,164
SC4701E0-PSG,0.886567164179105,0.779795764030749,178,58
SC4702E0-PSG,0.922256097560976,0.839134608045072,89,110
SC4711E0-PSG,0.876923076923077,0.75635889783531,227,258
SC4721E0-PSG,0.843723313407344,0.689025717528029,237,41
SC4722E0-PSG,0.870721048798252,0.720671239478931,359,11
SC4731E0-PSG,0.875179856115108,0.722961252599051,645,6
SC4732E0-PSG,0.856746031746032,0.742350846029056,203,22
SC4741E0-PSG,0.895910780669145,0.797554473086598,212,0
SC4742E0-PSG,0.873962264150943,0.716551581463479,153,1
SC4751E0-PSG,0.936940298507463,0.823520977048219,311,88
SC4752E0-PSG,0.867611336032389,0.676190766371371,357,237
SC4761E0-PSG,0.934220532319392,0.82941600128072,140,238
SC4772G0-PSG,0.92149866190901,0.808115712558707,52,260
SC4801G0-PSG,0.908074981975487,0.815810503308599,297,158
SC4802G0-PSG,0.90355871886121,0.793232225264491,230,319
SC4811G0-PSG,0.929225645295587,0.872537066136263,328,372
SC4812G0-PSG,0.91432119205298,0.81683113378478,254,263
SC4821G0-PSG,0.936811168258633,0.872082551922816,321,266
SC4822G0-PSG,0.905693950177936,0.799397802791055,296,281
